Season,Rank,Player
2024-2025,1,Luka Doncic
2024-2025,2,Stephen Curry
2024-2025,3,LeBron James
2024-2025,4,Jayson Tatum
2024-2025,5,Jalen Brunson
2024-2025,6,Victor Wembanyama
2024-2025,7,Anthony Edwards
2024-2025,8,Ja Morant
2023-2024,1,Stephen Curry
2023-2024,2,Jayson Tatum
2023-2024,3,LeBron James
2023-2024,4,Victor Wembanyama
2023-2024,5,Giannis Antetokounmpo
2023-2024,6,Luka Doncic
2023-2024,7,Devin Booker
2023-2024,8,Kevin Durant
2022-2023,1,LeBron James
2022-2023,2,Stephen Curry
2022-2023,3,Jayson Tatum
2022-2023,4,Giannis Antetokounmpo
2022-2023,5,Luka Doncic
2022-2023,6,Kevin Durant
2022-2023,7,Devin Booker
2022-2023,8,Ja Morant
2021-2022,1,LeBron James
2021-2022,2,James Harden
2021-2022,3,Stephen Curry
2021-2022,4,Kevin Durant
2021-2022,5,Jayson Tatum
2021-2022,6,Joel Embiid
2021-2022,7,Giannis Antetokounmpo
2021-2022,8,Luka Doncic
2020-2021,1,LeBron James
2020-2021,2,Giannis Antetokounmpo
2020-2021,3,Kevin Durant
2020-2021,4,Luka Doncic
2020-2021,5,Jayson Tatum
2020-2021,6,Devin Booker
2020-2021,7,Stephen Curry
2020-2021,8,Kyrie Irving
